claim_roman_urdu,claim_english,category,verdict,source_url
Imperial College London Lahore mai Nawaz Sharif IT City ka campus banane ja rahi hai,Imperial College London is set to build a campus in the Nawaz Sharif IT City in Lahore.,Education,False,https://www.sochfactcheck.com/pml-n-falsely-claims-imperial-college-london-build-campus-nawaz-sharif-it-city-lahore-pakistan/
Sindh Education Department ki taraf se ek notification aayi hai ke tamam public aur private schools 15 April 2026 tak band rahenge,"A notification by the School Education and Literacy Department, Government of Sindh, directs all public and private institutions to remain closed till 15 April 2026.",Education,False,http://sochfactcheck.com/government-of-sindh-education-department-did-not-order-closure-of-institutions-till-15-april-2026/
Pakistan ki 20 universities duniya bhar ki top 500 universities mein shamil ho gayi hain,20 Pakistani universities have been ranked amongst the world’s top 500 universities,Education,Misleading,https://www.sochfactcheck.com/pakistans-ranking-amongst-top-500-universities-is-not-indicative-of-overall-education-standards/
Balochistan government ne Indian actor Salman Khan ko fourth schedule mein daal diya hai,"On October 25, a social media user posted a purported notification on X (formerly Twitter) showing the Government of Balochistan placing Indian actor Salman Khan on the fourth schedule.",Entertainment,False,https://www.geo.tv/latest/631124-fact-check-fake-notification-claims-indian-actor-salman-khan-placed-on-pakistans-fourth-schedule
Shower lete waqt apna electric geyser band na karna jaanlewa sabit ho sakta hai,"Please make sure to switch off your electric geyser when taking a shower,” wrote a user on the platform X, formerly known as Twitter, on November 30, “Make sure to retweet this so you can save lives.",Health,Misleading,https://www.geo.tv/latest/523628-fact-check-electric-geysers-are-dangerous-when-showering
N league ki taraf se Punjab ke 12 crore logon ka health card band kar diya gaya hai,"The PML-N government has deprived Punjab’s 120 million people of the health insurance card facility,” a user claimed on platform X, formerly known as Twitter, on October 26.",Health,Misleading,https://www.geo.tv/latest/523085-fact-check-has-the-health-card-been-suspended-in-punjab
"Naya ilaaj aa gaya hai jo 3 saal tak diabetes se bachata hai, sabko share karo","On November 22, users on Facebook and Twitter alleged that a new path breaking treatment will prevent a person from getting diabetes for three years.",Health,Misleading,https://www.geo.tv/latest/455787-fact-check-new-drug-can-delay-type-1-diabetes-not-prevent-it
Pakistan mein bird flu ka naya case aa gaya hai,"On February 23, the Economy of Pakistan, a verified Twitter account, wrote: “Bird Flu case confirmed in Pakistan. In 2004, Bird flu caused a loss of approximately $100 million to the poultry industry.”",Health,False,https://www.geo.tv/latest/474573-fact-check-has-pakistan-detected-its-first-case-of-bird-flu
Maryam Nawaz ki beti ne sirf 13 saal mein graduate kiya,CM Punjab Maryam Nawaz claimed during a speech that her daughter graduated at the age of 13.,Politics,False,https://www.sochfactcheck.com/maryam-nawaz-did-not-say-her-daughter-graduated-at-the-age-of-13/
OpenAI ka O3 model aa gaya hai,Open AI’s new model O3 will change everything since artificial general intelligence (AGI) is finally here.,Tech,False,https://www.sochfactcheck.com/open-ais-new-reasoning-model-o3-has-not-achieved-agi/
"X finally Pakistan mein khul gaya, 7 mahine ke baad PTA ne ban hata diya","After a 7-month hiatus, X is now accessible in Pakistan after the Pakistan Telecommunication Authority (PTA) formally lifted the ban on the social media platform. It may be unclear whether this restoration is permanent but users can connect and post again.",Entertainment,False,https://www.sochfactcheck.com/x-has-not-been-unbanned-in-pakistan/
Garam anjeer ka pani cancer khatam kar deta hai,"Viral posts on social media claimed that Dr Gilbert A Kwak, a professor at ICBS General Hospital, stated that hot fig water can cure cancer and that hot figs can “destroy” cancer cells.",Health,False,https://www.sochfactcheck.com/hot-fig-water-cannot-cure-cancer/
"FBR ki janib se senior citizens ke liye khushkhabri, 60 saal se zaid umar wale shehriyon ko tax mein 50% chhoot milegi","On March 15, an Instagram user claimed that the FBR had introduced new tax relief for retirees. ""FBR has introduced a new relief for senior citizens over the age of 60 with a 50% reduction on any outstanding tax obligations,"" the post stated.",Politics,False,https://www.geo.tv/latest/657115-fact-check-fbr-has-not-introduced-new-tax-break-for-senior-citizens
"Ek letter viral ho raha hai jo Military Lands and Cantonments Department se aaya bataya ja raha hai, Peshawar ki West Capital Metropolitan ko bheja gaya","A letter dated April 29, 2025, is being shared online, claimed to be from the Military Lands and Cantonments Department, which works under the Ministry of Defence and oversees planning in cantonment areas. The letter is addressed to the director of the West Capital Metropolitan, a local government body in Peshawar.",Politics,True,http://geo.tv/latest/617595-fact-check-letter-about-expansion-of-peshawar-cantonment-is-real-say-officials
"Slow internet ke bais Fiverr ne Pakistani freelancers ko unavailable kar diya, sabka kaam ruk gaya","Due to the internet slowdown, Fiverr has thrown thousands of Pakistani freelancers in the category of ‘unavailable’,” a social media user wrote on August 13.",Education,True,https://www.geo.tv/latest/560127-fact-check-its-true-fiverr-did-flag-pakistani-freelancers-as-unavailable-due-to-internet-disruptions
"Pakistan mein cyber-attack hua hai, agle 2-3 din ATMs band rahenge, aaj online transaction bilkul mat karein aur yeh message logon mein share karein","ATMs will be closed for next two to three days probably, due to ransomware cyber-attack within Pakistan,” wrote a user on X, formerly known as Twitter, on August 17, “Don’t do any online transactions today.",Politics,False,https://www.geo.tv/latest/560424-fact-check-no-pakistans-atms-and-online-banking-are-not-under-cyber-attack
"Khabar hai ke Pakistan bhi US, EU, aur India ki tarah VPN companies ko locally register karwaye, security ke liye zaroori hai","On December 5, during an appearance on a private television channel, Syed proposed that the Pakistani government follow the example of countries like the US, EU, and India in requiring VPN providers to set up operations locally. He argued this would address national security concerns related to online activities.",Politics,Misleading,https://www.geo.tv/latest/581302-pshas-chairman-makes-misleading-claims-about-vpn-registration-and-data-monitoring-in-democratic-countries
PTI ki website Pakistan mein officially band hai kya?,"On January 25, a social media user tagged the interim minister for information technology on the platform X, formerly known as Twitter, and asked why the PTI websites were inaccessible in Pakistan.",Politics,True,http://geo.tv/latest/529256-fact-check-yes-ptis-websites-blocked-in-pakistan-ahead-of-polls
"ATM se paise nikalne ke baad 2 baar cancel button zaroor dabayein, warna account hack ho jayega","After withdrawing cash from an ATM, do remember to press the ‘cancel’ (X) button twice before you leave,” one user wrote on Instagram on November 6, “Otherwise cyber attackers can hack your [bank] account.",Tech,False,https://www.geo.tv/latest/527332-fact-check-does-pressing-cancel-twice-on-an-atm-protect-from-cyberattacks
DRAP ne warning di hai ke kuch beauty creams kidney damage kar sakti hain,"On July 7, an account on X, formerly known as Twitter, shared a post claiming that the Drug Regulatory Authority of Pakistan (Drap) had warned that some beauty creams being sold in the country could harm the kidneys and other organs.",Health,True,https://www.geo.tv/latest/672988-fact-check-punjab-recalls-batches-of-three-beauty-creams-after-mercury-detection
"Aleem Khan ke bayan ke mutabiq Park View City mein pani bilkul dakhil nahi hua, sab safe hain, koi relocate nahi hua","Shortly after heavy rainfall in August, federal minister and owner of Park View City Aleem Khan said water “did not breach” the residential society in Lahore at any point. Everything was “safe” and people were “not forced to relocate”, he added. Additionally, Park View City’s official post on Instagram said that “not a single drop of floodwater” had entered the area.",Nd,False,https://www.sochfactcheck.com/lahore-park-view-city-flooding-exposing-lawmaker-aleem-khan-false-narrative/
"Buner mein seelab ke bais 150 school ke bachon ko baha kar le gaya, bohot dukh ki khabar hai",150 school children were swept away after floods hit Buner district in Khyber Pakhtunkhwa.,Nd,False,https://www.sochfactcheck.com/no-150-school-children-were-not-swept-away-in-buner-floods/
"Punjab floods cover karte hue journalist Ali Musa Raza ki wafat ho gayi hai, Allah maghfirat kare",Pakistani journalist Ali Musa Raza died while reporting at the site of the recent Punjab floods.,Nd,False,https://www.sochfactcheck.com/pakistani-reporter-ali-musa-raza-rohi-tv-covering-punjab-floods-is-not-dead-sakhi-sarwar/
"Yeh dil chhu lene wali tasveer dekhein, bacha seelab mein apne kutte ko bowl mein bacha kar le ja raha hai",A picture shows a child walking in neck-high water while carrying a dog in a steel bowl during the floods in Pakistan.,Nd,False,https://www.sochfactcheck.com/picture-child-dog-bowl-pakistan-flood-2022-false-vietnam-nguyen-thanh-ly/
Video mein dikhaya ja raha hai ke Shehbaz Sharif ne Imran Khan se flood funds ikatthe karne ki request ki hai kyunki logon ko government par bharosa nahi,"A video on Facebook claims Shehbaz Sharif asked Imran Khan to help raise funds for flood victims in Pakistan. The video also claims the government urged Imran Khan to collect donations because large amounts of donations are being withheld by Pakistanis as well as foreign countries and organisations due to mistrust of the current coalition government and corrupt politicians, who have previously embezzled funds meant for relief and development. ",Nd,False,https://www.sochfactcheck.com/shehbaz-sharif-did-not-ask-imran-khan-for-help-to-raise-funds-for-flood-victims/
PAF ke Afghanistan par strikes ke bais 5.0 ke zalzale ki values record ki gayi hain,"Pakistan Air Force’s strikes in Afghanistan caused 5.0 seismic readings, similar to an earthquake. ",Nd,False,https://www.sochfactcheck.com/pakistans-airstrikes-did-not-cause-earthquake-level-seismic-activity/
"Hadiqa Kiyani ne Balochistan flood victims ke liye 370 ghar aur 200 masjidein banwa dein, Ma Sha Allah kya baat hai","Pakistani celebrity Hadiqa Kiyani built 370 homes, two maternity centers and 200 mosques for  survivors in the aftermath of the 2022 monsoon floods in Balochistan, Pakistan. ",Entertainment,False,https://www.sochfactcheck.com/hadiqa-kiyani-built-two-mosques-not-two-hundred/
Amitabh Bachchan Mumbai mein intaqal farma gaye hain,"Amitabh Bachchan passed away peacefully in Juhu, Mumbai.",Entertainment,False,https://www.sochfactcheck.com/has-renowned-bollywood-actor-amitabh-bachchan-passed-away/
"Netflix par nayi job aayi hai, unreleased movies review karein aur $16-$38 per hour kamayein","Netflix has launched a “Movie Reviewer Program”, which pays $16-$38 per hour for anyone to review “unreleased” movies.",Education,False,https://www.sochfactcheck.com/scam-posts-claim-netflix-pays-people-to-review-movies-tagger-preview-club/
"Khubani ke beej mein cyanide hota hai jo jaanlewa sabit ho sakta hai, logon ka khayal hai ke yeh health ke liye behtar hai lekin haqeeqat is ke baraks hai","On July 5, a Facebook user posted a long block of text claiming that eating apricot kernels can lead to serious health risks.
“It is believed that apricot kernels are beneficial to eat and can prevent many types of diseases, including cancer,” the post read, “But the reality is the opposite. Apricot kernels can cause serious health risks and even death as deadly poison cyanide is found in them.”",Health,True,https://www.geo.tv/latest/501691-fact-check-eating-large-amounts-of-apricot-seeds-can-cause-cyanide-poisoning
"11 June ko X (Twitter) par ek user ne Punjab University ka ek alleged notification share kiya jisme claim kiya gaya ke ab kisi bhi zinda shakhsiyat par PhD research tab tak nahi ho sakti, jab tak unhein Government of Pakistan ki taraf se koi civil award na mila ho.","On June 11, a user on X, formerly Twitter, shared a notification purportedly issued by the University of the Punjab claiming that the university had decided that no PhD research could be conducted on a living personality unless that person had been honored with a civil award by the Government of Pakistan.
“PhD research on living eminent personalities shall be conducted by the scholar of the University of the Punjab only for those who were conferred/bestowed with civil awards by the Government,” the notification, dated June 8, stated.",Education,True,https://www.geo.tv/latest/668813-fact-check-did-punjab-university-change-its-phd-policy-on-living-personalities
11 June ko ek Facebook user ne ek notice share kiya jisme daawa kiya gaya ke Nishtar Hospital ke ek house officer ko social media par gair-munasib content post karne ki wajah se naukri se nikaal diya gaya hai.,"On June 11, a Facebook user shared a notice claiming that a house officer at Nishtar Hospital had been terminated for posting objectionable content on social media.",Health,True,https://www.geo.tv/latest/670019-nishtar-hospital-confirms-termination-of-doctor-over-social-media-content
4 July ko ek TikTok user ne ek video post ki jisme purane fast bowler Shoaib Akhtar ye kehte hue dikhaye gaye ke: 'Mujhe afsoos ke sath batana par raha hai ke mashhoor cricketer Wasim Akram ka heart attack se inteqal ho gaya hai.',"On July 4, a TikTok user posted a video in which former fast bowler Shoaib Akhtar appears to say: “I regret to inform you that famous cricketer Wasim Akram has died from a heart attack.”",Entertainment,False,https://www.geo.tv/latest/672460-fact-check-ai-generated-video-falsely-claims-former-cricketer-wasim-akram-has-died
23 March ko X par ek poster share karte hue claim kiya gaya ke Shaheen Afridi par ek documentary 30 March ko release ho rahi hai. Is poster par 'Eagle' likha tha aur bataya gaya ke ise Geo News Studios aur Lahore Qalandars ne mil kar banaya hai.,"On March 23, a user shared an alleged poster on X (formerly Twitter), claiming that a documentary on Shaheen Afridi was set to release on March 30.
“It will feature his story both on and off the field,” the user wrote. The image accompanying the post carried the title “Eagle” and stated that it was produced by Geo News Studios and Lahore Qalandars.",Entertainment,False,https://www.geo.tv/latest/658883-fact-check-no-geo-and-lahore-qalandars-are-not-making-a-shaheen-afridi-documentary
19 April ko social media par aisi images viral huin jisme race ke participants ne aisi T-shirts pehni hui thi jin par Chief Minister Punjab Maryam Nawaz Sharif ki ek bari tasveer bani hui thi.,"On April 19, several online users shared images from the race showing participants wearing T-shirts with a large picture of Chief Minister Punjab Maryam Nawaz Sharif.",Politics,True,http://geo.tv/latest/661293-fact-check-true-marathon-participants-in-lahore-wore-t-shirts-featuring-cm-punjab
11 March ko ek Instagram account ne post kiya ke Punjab hukumat ny kam aamdani wale gharano ki madad ke liye ek Eidi scheme shuru kar di hai taake log Eid ki khushiyan mana sakein.,"On March 11, an Instagram account posted that the Punjab government had launched an Eidi scheme to support low-income residents during the Eid holidays.",Politics,False,https://www.geo.tv/latest/657129-fact-check-punjab-govt-did-not-announce-rs5000-eidi-scheme-say-officials
Punjab hukumat ne sardi ki shiddat ke baais winter vacations 13 January se barha kar 18 January 2025 tak karne ka elaan kar diya hai.,The Government of Punjab has extended winter vacations from 13 January to 18 January 2025 amid cold weather in the region. ,Education,False,http://sochfactcheck.com/notification-about-extended-winter-vacations-in-punjabs-schools-is-fake/
"8 January ko Khyber Pakhtunkhwa hukumat ne apne official X account par ek video share ki jiska caption tha: 'Imran Khan ke vision ke tehat, 2013 se ab tak KP me 14 nayi public sector universities qaim ki gayi hain.'","On January 8, the Khyber Pakhtunkhwa government posted a video clip of over two minutes on its X (formerly Twitter) account with the caption: “Under the vision of Imran Khan, 14 new public sector universities have been established in Khyber Pakhtunkhwa since 2013.”",Education,True,https://www.geo.tv/latest/647886-fact-check-did-pti-govt-set-up-14-public-universities-in-khyber-pakhtunkhwa
"26 November ko ek Facebook user ne ek graphic share kiya jisme bataya gaya ke ab traffic rules torhne par bhari jurmane lagaye jayenge, kyunke Punjab law department ne is hawale se naya ordinance jari kar diya hai.","On November 26, a Facebook user shared a graphic with an Urdu caption stating: ""Now heavy fines will be imposed for violating traffic laws. According to details, the Punjab law department has issued a new ordinance regarding violations of traffic rules"".",Politics,True,https://www.geo.tv/latest/639712-fact-check-punjab-introduces-new-traffic-fines-including-a-rs200000-penalty-for-specific-violations
"Zombies ke bhes me log aur unke sath Pakistani actors Fahad Mustafa aur Mehwish Hayat ki ek video social media par chal rahi hai, jise Marka-e-Haq ki pehli anniversary ki celebrations bataya ja raha hai.","A video of people dressed up as zombies, along with Pakistani actors Fahad Mustafa and Mehwish Hayat, shows celebrations marking the first anniversary of Marka-e-Haq.",Entertainment,False,https://www.sochfactcheck.com/fahad-mustafa-and-mehwish-hayat-zombie-video-misidentified-as-marka-e-haq-celebration/
Starlink ne haal hi mein Pakistan mein registration karwa li hai aur unki internet services ab officially operational ho gayi hain.,Starlink recently registered in Pakistan and their internet services are now operational. ,Tech,False,https://www.sochfactcheck.com/elon-musks-starlink-has-not-launched-in-pakistan-yet/
"Indian doctors ke aik group ne dil ki shariyanon (coronary arteries) ki blockage kholne ke liye Megavac naam ka aik jadeed system ijaad kiya hai, jo bina open-heart surgery ke blockages ko khatam kar sakta hai.","A group of Indian doctors have invented a piece of advanced equipment to remove coronary artery blockages called Megavac, a mechanical thrombectomy system which removes blockages, mitigating the need for open-heart surgery.",Tech,False,https://www.sochfactcheck.com/megavac-is-not-a-new-medical-invention/
iOS ke naye update ne automatically aik aisa feature on kar diya hai jo Instagram par users ki bilkul sahi (precise) location baki tamam users ko dikha deta hai.,A new iOS update automatically activated a  feature that shares users’ precise location on Instagram for all other users on the platform to see.,Tech,False,https://www.sochfactcheck.com/iphone-does-not-allow-you-to-be-geolocated-through-instagram/
"Aik website par khabar share ki gayi hai jis ka headline hai, 'Is dawai ka istemal mat karein, yeh gurde (kidney) fail kar rahi hai.' Is khabar mein Pakistan mein hone wali aik conference ke hawale se allopathic dawaiyon ke nuksanat bataye gaye hain.","A website shared a story with the headline, “Do not use this medicine, it is causing kidney failure. Doctors have suggested it as dangerous.” Included in the story were remarks from a conference held in Pakistan during which the side effects of allopathic medicine were discussed.  Allopathic medicine is another term for science-based, modern medicine.",Tech,False,https://www.sochfactcheck.com/misleading-post-claims-allopathic-medicines-can-cause-kidney-failure/
Astronaut Mark Kelly ne chupke se aik mukammal gorilla suit International Space Station (ISS) par pahuncha diya.,Astronaut Mark Kelly smuggled a full gorilla suit on board the International Space Station (ISS).,Tech,Misleading,https://www.sochfactcheck.com/mark-kelly-did-not-pull-the-space-ape-prank-on-the-iss-it-was-his-twin-scott/
News headlines mein China mein samne aane wale bubonic plague (tawoon) ke case ko is tarah pesh kiya ja raha hai jaise yeh koi bilkul nayi bimari (novel occurrence) ho., News headlines portray bubonic plague case in China as a novel occurrence,Tech,Misleading,https://www.sochfactcheck.com/reports-about-new-bubonic-plague-case-in-china-are-misleading/
Garmi aur nami wale ilaqon mein COVID-19 nahi phail sakta.,COVID-19 cannot be transmitted in areas with hot and humid climate. ,Tech,False,https://www.sochfactcheck.com/yes-coronavirus-can-be-transmitted-in-hot-weather/
Social media par aik tasveer share kar ke daawa kiya ja raha hai ke PTI activist Sanam Javed hospital ke bed par leti hui hain.,An image shows PTI activist Sanam Javed lying on a hospital bed. ,Politics,Misleading,https://www.sochfactcheck.com/image-of-sanam-javed-hospitalised-is-likely-ai-generated/
"Wikipedia aur BBC ne tasdeeq ki hai ke Afghan Taliban par military fatah ke baad Afghanistan ka Ghudwana enclave ab officially Pakistan ka hissa ban chuka hai, jahan Pakistani forces ne 32 square kilometer ka ilaqa captured kar liya hai.","Wikipedia and the BBC have confirmed that Afghanistan’s Ghudwana enclave is now officially part of Pakistan following a military victory over the Afghan Taliban. Pakistani forces have permanently captured a 32 km² area, marking a significant territorial gain.",Politics,Misleading,https://www.sochfactcheck.com/viral-post-falsely-claims-ghudwana-enclave-is-now-officially-part-of-pakistan/
Punjab hukumat ne 'Honhaar Scholarship Program' ke tehat makhsoos universities ke students ko muft laptops aur parhai ke kharajat dene ke liye portal officially launch kar diya hai.,The Government of Punjab has officially launched the portal for the 'Honhaar Scholarship Program' to provide free laptops and cover educational expenses for students of selected universities.,Education,True,https://honhaarscholarship.punjab.gov.pk
Federal Public Service Commission (FPSC) ne CSS written competitive exam ke results ka ailan kar diya hai aur pass hone wale umeedwaron ki list official website par upload ho chuki hai.,The Federal Public Service Commission (FPSC) has announced the results of the CSS written competitive exam and uploaded the list of successful candidates on its official website.,Education,True,https://www.fpsc.gov.pk
"National Assembly ne social media par jhoot phailane aur defamation ko rokne ke liye naya 'Defamation Bill' kasrat-e-rai se pass kar diya hai, jis ke tehat bhaari jurmane ho sakenge.","The National Assembly has passed the new 'Defamation Bill' by a majority vote to curb false information and defamation on social media, allowing heavy fines to be imposed.",Politics,True,https://na.gov.pk
National Cyber Security Academy ne shehriyon ko hidayat ki hai ke wo kisi bhi gair-tasdeeq shuda link par click na karein kyunki is se unka sensitive data aur social media accounts hack ho sakte hain.,The National Cyber Security Academy has advised citizens not to click on any unverified links as it can lead to the hacking of their sensitive data and social media accounts,Tech,True,https://ncsa.gov.pk
"OpenAI ne apna naya flagship model GPT-4o (Omni) launch kar diya hai jo text, voice aur vision ko real-time mein samajh sakta hai aur ye free users ke liye bhi available hai.","OpenAI has launched its new flagship model, GPT-4o (Omni), which can process text, voice, and vision in real-time and is available for free users as well.",Tech,True,https://openai.com/blog
"Hukumat-e-Pakistan ne DigiSkills Training Program ke tehat shehriyon ko mobile app development, graphic designing aur freelancing ke muft courses sikhane ke liye naye batch ke admissions ka ailan kar diya hai.","The Government of Pakistan has announced admissions for the new batch of the DigiSkills Training Program, offering free courses in mobile app development, graphic designing, and freelancing.",Education,True,https://digiskills.pk
Meta ne apna naya open-source Large Language Model Llama 3 officially release kar diya hai jo developers ko AI applications aur chatbots banane mein madad karega.,"Meta has officially released its new open-source Large Language Model, Llama 3, which will help developers build AI applications and chatbots.",Tech,True,https://meta.com
Prime Minister Youth Laptop Scheme ke tehat merit par aane wale university students ko educational aur research maqasid ke liye muft laptops distribute kiye ja rahe hain.,"Under the Prime Minister Youth Laptop Scheme, free laptops are being distributed to merit-listed university students for educational and research purposes.",Tech,True,https://pmyp.gov.pk
"Waldein hoshiyar rahein! HPV vaccine kya hai? Yeh schoolon mein 9 se 14 saal ki larkiyon ko lagayi jayegi, lekin sirf larkiyon ko. Yeh dunya ki aabaadi ko barhne se rokne ke liye larkiyon ko banjh banane ki saazish hai taake shadi ke baad unke bachay na paida ho sakein. Waldein apni betiyon ko yeh vaccine lagwane se inkar kar dein.","On September 15, a TikTok user shared a graphic overlaid with text written in the Urdu language that read:

“Parents, beware! What is the HPV vaccine? It will be given to girls aged nine to 14 years in schools, but only to girls. This is being done to stop the growing population in the world by making girls infertile, so that after marriage, they cannot have children. Parents should not allow their daughters to receive this vaccine.”",Health,False,https://www.geo.tv/latest/626816-fact-check-experts-dismiss-misinformation-about-hpv-vaccine-and-fertility
Fawad Khan aur Mahira Khan ne bura radd-e-amal milne par apni naye aane wali movie ki shooting hamesha ke liye rok di hai.,Fawad Khan and Mahira Khan have stopped the shooting of their upcoming movie forever due to negative backlash.,Entertainment,False,https://www.geo.tv
Pakistani film 'The Legend of Maula Jatt' ne box office par 200 crore se zyada ka business kar ke Pakistani cinema ka sabse bara record qaim kar diya hai.,The Pakistani film 'The Legend of Maula Jatt' set a record by grossing over 200 crores at the box office.,Entertainment,True,https://www.geo.tv
Coke Studio ka mashhoor gana 'Pasoori' global music charts par top karne wala aur Spotify par sabse zyada suna jane wala Pakistani gana ban gaya hai.,Coke Studio's famous song 'Pasoori' topped global music charts and became the most-streamed Pakistani song on Spotify.,Entertainment,True,https://www.geo.tv
Pakistani film 'Joyland' ko Cannes Film Festival mein pehli dafa kisi Pakistani film ke tor par 'Jury Prize' ka award mila.,Pakistani film 'Joyland' ko Cannes Film Festival mein pehli dafa kisi Pakistani film ke tor par 'Jury Prize' ka award mila.,Entertainment,True,https://www.sochfactcheck.com
Shimali ilaqa jaat mein garmi ki shiddat ki wajah se glaciers pighal rahay hain jis se Gilgit-Baltistan mein selab ka khatra barh gaya hai.,"Glaciers are melting rapidly due to intense heat in northern areas, increasing the risk of glacial lake outburst floods (GLOF) in Gilgit-Baltistan.",Nd,True,https://www.ndma.gov.pk
"Punjab ke mukhtalif shashon, khususan Lahore mein shadeed smog ki wajah se hukumat ne dfaati tor par schools aur parks band karne ka faisla kiya tha.","Due to severe smog in various cities of Punjab, especially Lahore, the government temporarily closed schools and parks.",Nd,True,https://www.geo.tv
NDMA ne report kiya hai ke is saal moosala dhaar barishon ki wajah se Balochistan ke mutaddid zilon mein emergency nafiz kar di gayi hai.,"NDMA reported that due to heavy torrential rains, an emergency has been declared in several districts of Balochistan.",Nd,True,https://www.geo.tv
Met Department (Mahkama Mausamiyat) ne warning jari ki hai ke is saal monsoon ki barishein aam saal ke muqable mein zyada hongi jis se nichi ilaqa jaat mein pani jama hone ka khatra hai.,"The Met Department has issued a warning that this year's monsoon rains will be higher than usual, risking urban flooding in low-lying areas.",Nd,True,https://www.pmd.gov.pk
"Pakistan ke aik local developer ne dunya ka sabse tez Roman Urdu LLM model background mein train kar liya hai jo GPT-4 ko bhi peechay chorr dega, par usne abhi tak iska code public nahi kiya.","A local Pakistani developer has privately trained the world's fastest Roman Urdu LLM that outperforms GPT-4, but has not made the code public yet.",Tech,Uncertain,https://www.github.com (No verifiable repository)
"Islamabad ki ek startup company ne naya AI algorithm banaya hai jo crypto market ki 100% sahi prediction karta hai, lekin security ki wajah se wo iska formula chupaye hue hain","An Islamabad-based startup has created an AI algorithm that predicts the crypto market with 100% accuracy, but they are keeping the formula secret for security reasons.",Tech,Uncertain,
Halia band kamra ijtihad (closed-door meeting) mein do barhi siyasi jamaaton ke darmiyan iqtadar ki aadhi aadhi taqseem par khufia muahida tay pa gaya hai.,A secret agreement on power-sharing has been finalized between two major political parties during a recent closed-door meeting.,Politics,Uncertain,
Aik ghaibana mulk se Pakistan ki aik barhi party ko election campaign chalane ke liye crypto currency ke zariye lakho dollars bheje gaye hain.,Millions of dollars in cryptocurrency were sent from an anonymous foreign country to a major Pakistani party to run their election campaign.,Politics,Uncertain,
"HEC aglay saal se tamam private universities mein bachelor degrees ka duration 4 saal se ghata kar 3 saal karne ka khufia mansuba bana rahi hai, jiski abhi tak notification nahi aayi.","HEC is secretly planning to reduce the bachelor's degree duration from 4 to 3 years in all private universities starting next year, though no official notification has been issued yet.",Education,Uncertain,
Pakistan ki top 5 engineering universities ne mil kar aik naya apna rating system banaya hai jo aane wale mahino mein HEC ke rankings ko replace kar dega.,Pakistan's top 5 engineering universities have jointly created their own rating system which will replace HEC rankings in the coming months.,Education,Uncertain,
"Gilgit ke paharon mein paye janay walay aik khas jangli phool ka ras cancer ke cells ko sirf 48 ghantay mein maar sakta hai, aur local Hakeem is par chupke se research kar rahe hain.","The extract of a specific wild flower found in Gilgit mountains can kill cancer cells in just 48 hours, and local herbalists are secretly researching it.",Health,Uncertain,
"Balochistan ke ek door-daraz gaon mein qudrati chashmay ka pani peenay se sugar ke mareez hamesha ke liye theek ho rahe hain, par scientist ne abhi tak pani ka chemical test nahi kiya.","Drinking water from a natural spring in a remote village in Balochistan is permanently curing diabetic patients, but scientists have not chemically tested the water yet.",Health,Uncertain,
"Fawad Khan ne Hollywood ki ek aane wali barhi action movie mein aik supporting character ka role sign kar liya hai, lekin contract ke mutabiq wo iska elaan aglay saal tak nahi kar sakte.","Fawad Khan has signed a supporting role in an upcoming major Hollywood action movie, but according to the contract, he cannot announce it until next year.",Entertainment,Uncertain,
"Do mashhoor pakistani stars jinki pichle saal taliaq (divorce) hui thi, wo apne bacho ki wajah se khamoshi se dubara aik sath rehne lage hain aur jald iska elaan karein ge.",Two famous Pakistani stars who divorced last year have quietly started living together again for their children and will announce it soon.,Entertainment,Uncertain,
"Aik local mauseeyat ke shauqeen (amateur weather forecaster) ne claim kiya hai ke is saal July mein Lahore mein tareekh ka sabse bara badal phatne ka hadsa (cloudburst) hoga, lekin PMD ne iski tasdeeq nahi ki.","An amateur weather forecaster has claimed that Lahore will experience the biggest cloudburst in its history this July, though the PMD has not confirmed it.",Nd,Uncertain,
"Khuzdar ke aik door daraz pahari ilaqe mein halka zalzala aaya hai jis se purani deewarein gir gayin, par meteorology department ke sensors ne isay record nahi kiya kyunki scale bohut kam tha.","A minor earthquake hit a remote mountainous area of Khuzdar, causing old walls to collapse, but meteorological sensors did not record it due to low magnitude.",Nd,Uncertain,
Pakistan mein petrol ki qeematon ka faisla har 15 din baad internationally crude oil ki qeematon aur dollar ke rate ke mutabiq kiya jata hai.,"In Pakistan, petrol prices are determined every 15 days based on international crude oil prices and the US dollar exchange rate.",Politics,True,https://www.ogra.org.pk
Microwave oven mein khana garam karne se khane mein radioactive rays shamil ho jati hain jis se cancer hone ka khatra 100% barh jata hai.,"Heating food in a microwave oven adds radioactive rays to the food, which increases the risk of cancer by 100%.",Health,False,https://www.who.int
